Filtro almacén,Filtro zona,Nº producto,Descripción producto,Cód. unidad medida,Cantidad,Cantidad (base),Cant. a traer disponible,Cód. ubicación,ItemDescription,Cant. en ubicación ajuste
BOD-CINER1,,REL0015,RELICARIO INFINITO DELGADO CON CADENA C02 (DESCONTINUADO),UNIDAD,58.00,58.,58.00,UBIA01,RELICARIO INFINITO DELGADO CON CADENA C02 (DESCONTINUADO),0.00
BOD-CINER1,,REL0016,RELICARIO ARBOL DE LA VIDA CON CADENA C05,UNIDAD,13.00,13.,13.00,UBIA01,RELICARIO ARBOL DE LA VIDA CON CADENA C05,0.00
BOD-CINER1,,REL0017,RELICARIOS CUBOS BRILLANTE C25 (DESCONTINUADO),UNIDAD,42.00,42.,42.00,UBIA01,RELICARIOS CUBOS BRILLANTE C25 (DESCONTINUADO),0.00
BOD-CINER1,,REL0018,RELICARIO EMBUDO C08 (DESCONTINUADO),UNIDAD,17.00,17.,17.00,UBIA01,RELICARIO EMBUDO C08 (DESCONTINUADO),0.00
BOD-CINER1,,REL0019,RELICARIO RECTANGULAR C00,UNIDAD,18.00,18.,18.00,UBIA01,RELICARIO RECTANGULAR C00,0.00
BOD-CINER1,,REL0020,RELICARIO CORAZON CHICO C19,UNIDAD,20.00,20.,20.00,UBIA01,RELICARIO CORAZON CHICO C19,0.00
BOD-CINER1,,REL0021,RELICARIO CRUZ ACERO/PLATA (S/E),UNIDAD,14.00,14.,14.00,UBIA01,RELICARIO CRUZ ACERO/PLATA (S/E),0.00
BOD-CINER1,,REL0023,RELICARIO ACERO INOX ANILLOS ARBOL (DESCONTINUADO),UNIDAD,2.00,2.,2.00,UBIA01,RELICARIO ACERO INOX ANILLOS ARBOL (DESCONTINUADO),0.00
BOD-CINER1,,REL0026,RELICARIO ACERO INOX CORAZON 2,UNIDAD,2.00,2.,2.00,UBIA01,RELICARIO ACERO INOX CORAZON 2,0.00
BOD-CINER1,,REL0028,RELICARIO ACERO INOX ESTRELLA,UNIDAD,3.00,3.,3.00,UBIA01,RELICARIO ACERO INOX ESTRELLA,0.00
BOD-CINER1,,REL0029,RELICARIO ACERO INOX LAGRIMA 1,UNIDAD,1.00,1.,1.00,UBIA01,RELICARIO ACERO INOX LAGRIMA 1,0.00
BOD-CINER1,,REL0030,RELICARIO ACERO INOX ROSA DE LOS VIENTOS,UNIDAD,2.00,2.,2.00,UBIA01,RELICARIO ACERO INOX ROSA DE LOS VIENTOS,0.00
BOD-CINER1,,REL0039,RELICARIO BRUJULA,UNIDAD,11.00,11.,11.00,UBIA01,RELICARIO BRUJULA,0.00
BOD-CINER1,,REL0040,RELICARIO ACERO INOX CORAZON DORADO lJD099,UNIDAD,37.00,37.,37.00,UBIA01,RELICARIO ACERO INOX CORAZON DORADO lJD099,0.00
BOD-CINER1,,REL0041,ANFORA K215 RADIANCE BRU PEWTER (CLASICA PLATA MINI) (DESCONTINUADO),UNIDAD,2.00,2.,2.00,UBIA01,ANFORA K215 RADIANCE BRU PEWTER (CLASICA PLATA MINI) (DESCONTINUADO),0.00
BOD-CINER1,,REL0045,ANFORA K232 CLASSIC SOARING DOVES (YENDO A CASA MINI) (DESCONTINUADO),UNIDAD,2.00,2.,2.00,UBIA01,ANFORA K232 CLASSIC SOARING DOVES (YENDO A CASA MINI) (DESCONTINUADO),0.00
BOD-CINER1,,REL0046,RELICARIO ESTRELLA,UNIDAD,14.00,14.,14.00,UBIA01,RELICARIO ESTRELLA,0.00
BOD-CINER1,,REL0047,RELICARIO LUNA,UNIDAD,19.00,19.,19.00,UBIA01,RELICARIO LUNA,0.00
BOD-CINER1,,REL0048,RELICARIO FLOR ROSA NEGRO,UNIDAD,18.00,18.,18.00,UBIA01,RELICARIO FLOR ROSA NEGRO,0.00
BOD-CINER1,,REL0050,RELICARO CORAZON NEGRO BRILLANTE,UNIDAD,41.00,41.,41.00,UBIA01,RELICARO CORAZON NEGRO BRILLANTE,0.00
BOD-CINER1,,REL0051,RELICARIO BALA,UNIDAD,17.00,17.,17.00,UBIA01,RELICARIO BALA,0.00
BOD-CINER1,,REL0052,RELICARIO FLOR PEQUEÃ‘O (DESCONTINUADO),UNIDAD,13.00,13.,13.00,UBIA01,RELICARIO FLOR PEQUEÃ‘O (DESCONTINUADO),0.00
BOD-CINER1,,REL0053,RELICARIO CORAZON VIDRIADO,UNIDAD,4.00,4.,4.00,UBIA01,RELICARIO CORAZON VIDRIADO,0.00
BOD-CINER1,,REL0054,RELICARIO HEXAGONO,UNIDAD,13.00,13.,13.00,UBIA01,RELICARIO HEXAGONO,0.00
BOD-CINER1,,REL0055,RELICARIO FLOR (DESCONTINUADO),UNIDAD,19.00,19.,19.00,UBIA01,RELICARIO FLOR (DESCONTINUADO),0.00
BOD-CINER1,,REL0056,RELICARIO RECTANGULO LARGO,UNIDAD,27.00,27.,27.00,UBIA01,RELICARIO RECTANGULO LARGO,0.00
BOD-CINER1,,REL0057,RELICARIO GOTA,UNIDAD,26.00,26.,26.00,UBIA01,RELICARIO GOTA,0.00
BOD-CINER1,,REL0058,RELICARIO MARIPOSA,UNIDAD,8.00,8.,8.00,UBIA01,RELICARIO MARIPOSA,0.00
BOD-CINER1,,REL0059,RELICARIO DE ALABASTRO SERENIDAD,UNIDAD,2.00,2.,2.00,UBIA01,RELICARIO DE ALABASTRO SERENIDAD,0.00
BOD-CINER1,,REL0060,RELICARO DE ALABASTRO CONFIANZA,UNIDAD,2.00,2.,2.00,UBIA01,RELICARO DE ALABASTRO CONFIANZA,0.00
BOD-CINER1,,REL0062,RELICARIO DE ALABASTRO ALMA,UNIDAD,2.00,2.,2.00,UBIA01,RELICARIO DE ALABASTRO ALMA,0.00
BOD-CINER1,,REL0063,RELICARIO DE ALABASTRO CALMA,UNIDAD,2.00,2.,2.00,UBIA01,RELICARIO DE ALABASTRO CALMA,0.00
BOD-CINER1,,REL0064,RELICARIO DE ALABASTRO LIBERTAD,UNIDAD,2.00,2.,2.00,UBIA01,RELICARIO DE ALABASTRO LIBERTAD,0.00
BOD-CINER1,,REL0066,RELICARIO RECTAGULADO VIDRIADO,UNIDAD,13.00,13.,13.00,UBIA01,RELICARIO RECTANGULO VIDRIADO,0.00
